[syn]	d0s	top	d0t
wn30instances:synset-Aborigine-noun-2	dul:Person	wn30instances:synset-ethnic_group-noun-1	dul:Collective
wn30instances:synset-Aborigine-noun-2	dul:Collection	wn30instances:synset-ethnic_group-noun-1	dul:Collective
wn30instances:synset-Achaean-noun-2	dul:Collection	wn30instances:synset-citizenry-noun-1	dul:Collective
wn30instances:synset-Adapid-noun-1	dul:Organism	wn30instances:synset-taxonomic_group-noun-1	coll:Taxon
wn30instances:synset-Aeolian-noun-2	dul:Collection	wn30instances:synset-citizenry-noun-1	dul:Collective
wn30instances:synset-Aertex-noun-1	dul:PhysicalObject	wn30instances:synset-fabric-noun-1	dul:DesignedArtifact
wn30instances:synset-African-noun-1	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-Amentiferae-noun-1	dul:Organism	wn30instances:synset-taxonomic_group-noun-1	coll:Taxon
wn30instances:synset-Americana-noun-1	dul:PhysicalObject	wn30instances:synset-artifact-noun-1	dul:PhysicalObject
wn30instances:synset-Amerindian-noun-1	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-Annwfn-noun-1	d0:Location	wn30instances:synset-imaginary_place-noun-1	dul:Place
wn30instances:synset-Aquarius-noun-1	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-Archimedes__principle-noun-1	dul:Description	wn30instances:synset-law-noun-4	dul:Theory
wn30instances:synset-Aries-noun-1	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-Asgard-noun-1	d0:Location	wn30instances:synset-imaginary_place-noun-1	dul:Place
wn30instances:synset-Asia-noun-2	dul:Collection	wn30instances:synset-collection-noun-1	dul:Collection
wn30instances:synset-Assumption-noun-5	d0:Event	wn30instances:synset-miracle-noun-2	dul:EventType
wn30instances:synset-Atlantis-noun-1	d0:Location	wn30instances:synset-imaginary_place-noun-1	dul:Place
wn30instances:synset-Avogadro_s_law-noun-1	dul:Description	wn30instances:synset-law-noun-4	dul:Theory
wn30instances:synset-Azeri-noun-1	dul:Collection	wn30instances:synset-ethnic_group-noun-1	dul:Collective
wn30instances:synset-Bahaism-noun-1	dul:InformationEntity	wn30instances:synset-religion-noun-1	coll:InformationCollection
wn30instances:synset-Baltic_State-noun-1	d0:Location	wn30instances:synset-geographical_area-noun-1	dul:Place
wn30instances:synset-Bambuseae-noun-1	dul:Collection	wn30instances:synset-tribe-noun-3	dul:Collective
wn30instances:synset-Bayes__theorem-noun-1	dul:InformationEntity	wn30instances:synset-theorem-noun-2	dul:InformationObject
wn30instances:synset-Benford_s_law-noun-1	dul:Description	wn30instances:synset-law-noun-4	dul:Theory
wn30instances:synset-Bengali-noun-2	dul:Collection	wn30instances:synset-ethnic_group-noun-1	dul:Collective
wn30instances:synset-Bernoulli_s_law-noun-1	dul:Description	wn30instances:synset-law-noun-4	dul:Theory
wn30instances:synset-Black-noun-5	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-Black_Hand-noun-1	dul:Organization	wn30instances:synset-organized_crime-noun-1	dul:Organization
wn30instances:synset-Bose-Einstein_statistics-noun-1	dul:Description	wn30instances:synset-law-noun-4	dul:Theory
wn30instances:synset-Bovini-noun-1	dul:Collection	wn30instances:synset-tribe-noun-3	dul:Collective
wn30instances:synset-Boy_Scouts-noun-1	dul:Collection	wn30instances:synset-movement-noun-4	dul:Collective
wn30instances:synset-Boyle_s_law-noun-1	dul:Description	wn30instances:synset-law-noun-4	dul:Theory
wn30instances:synset-Brahmanism-noun-2	dul:InformationEntity	wn30instances:synset-religion-noun-1	coll:InformationCollection
wn30instances:synset-British_East_Africa-noun-1	d0:Location	wn30instances:synset-district-noun-1	dul:Place
wn30instances:synset-British_West_Africa-noun-1	d0:Location	wn30instances:synset-district-noun-1	dul:Place
wn30instances:synset-Brobdingnag-noun-1	d0:Location	wn30instances:synset-imaginary_place-noun-1	dul:Place
wn30instances:synset-Brownian_movement-noun-1	d0:Event	wn30instances:synset-movement-noun-3	dul:Event
wn30instances:synset-Buddhism-noun-2	dul:InformationEntity	wn30instances:synset-religion-noun-1	coll:InformationCollection
wn30instances:synset-Cadmus-noun-1	dul:Personification	wn30instances:synset-imaginary_being-noun-1	dul:Personification
wn30instances:synset-Camorra-noun-1	dul:Organization	wn30instances:synset-organized_crime-noun-1	dul:Organization
wn30instances:synset-Cancer-noun-2	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-Capricorn-noun-1	dul:Person	wn30instances:synset-person-noun-1	dul:Person
wn30instances:synset-Central_America-noun-2	dul:Collection	wn30instances:synset-collection-noun-1	dul:Collection
wn30instances:synset-Centrospermae-noun-1	dul:Organism	wn30instances:synset-taxonomic_group-noun-1	coll:Taxon
wn30instances:synset-Chlorophyta-noun-1	dul:Organism	wn30instances:synset-division-noun-7	coll:Taxon
wn30instances:synset-Christianity-noun-1	dul:InformationEntity	wn30instances:synset-religion-noun-1	coll:InformationCollection
wn30instances:synset-Christmas_factor-noun-1	dul:PhysicalObject	wn30instances:synset-coagulation_factor-noun-1	dul:FunctionalSubstance
wn30instances:synset-Christmas_tree-noun-5	dul:PhysicalObject	wn30instances:synset-decoration-noun-1	dul:DesignedArtifact
wn30instances:synset-Chrysophyta-noun-1	dul:Organism	wn30instances:synset-division-noun-7	coll:Taxon
wn30instances:synset-Civil_Rights_movement-noun-1	dul:Collection	wn30instances:synset-movement-noun-4	dul:Collective
wn30instances:synset-Cockaigne-noun-1	d0:Location	wn30instances:synset-imaginary_place-noun-1	dul:Place
wn30instances:synset-Colony-noun-3	d0:Location	wn30instances:synset-geographical_area-noun-1	dul:Place
wn30instances:synset-Coriolis_effect-noun-1	dul:Situation	wn30instances:synset-consequence-noun-1	dul:Situation
wn30instances:synset-Coulomb_s_Law-noun-1	dul:Description	wn30instances:synset-law-noun-4	dul:Theory
wn30instances:synset-Cupid_s_bow-noun-1	d0:Characteristic	wn30instances:synset-curve-noun-1	dul:Quality
wn30instances:synset-Cyanophyta-noun-1	dul:Organism	wn30instances:synset-division-noun-7	coll:Taxon
wn30instances:synset-Cynodontia-noun-1	dul:Organism	wn30instances:synset-division-noun-7	coll:Taxon
wn30instances:synset-Dalton_s_law-noun-2	dul:Description	wn30instances:synset-law-noun-4	dul:Theory
wn30instances:synset-Dar_al-Islam-noun-1	d0:Location	wn30instances:synset-geographical_area-noun-1	dul:Place
